nBase,VE2_A,nHetero,nF,ATSC7are,AATSC0d,GATS1dv,GATS1s,BCUTs-1h,nBondsT,C3SP3,Xc-5d,NaasC,NssssC,NaaN,IC2,PEOE_VSA3,nHRing,nARing,nFAHRing,JGI2,MAXaaCH
1,0.12487959200542607,10,2,1.9841027404844267,0.5558477508650516,0.4855665224445647,0.6005432513207707,8.002971214450737,0,1,0.5948190167920577,5,0,0,4.87698101391969,8.78083009534964,0,0,0,0.08730158730158732,1.6477473655757524
2,0.13235816704292874,10,2,-1.641044444444444,0.7180246913580245,0.4619055840568272,0.6401070753423671,8.004640663337215,0,2,0.7512508430192952,4,1,2,5.075077818503819,23.74119186987973,2,2,1,0.08914728682170545,1.5915676965230536
3,0.13327292957353826,7,0,-0.5318692520775616,0.566943674976916,0.5786406173042195,0.8334586352657007,7.008273158790503,0,0,0.24719387459906544,7,0,0,4.190382839729975,0.0,1,0,0,0.06349206349206353,1.9659445861678004
1,0.12301948678452156,7,0,-0.8562468906250005,0.4985937500000001,0.6219037148635259,0.6983443045388981,7.009365090738221,0,0,0.4281523501253911,5,0,0,4.828305665873757,0.0,0,0,0,0.07127882599580716,1.9876550076300152
0,0.10594716309733332,21,0,-0.3629697908793159,0.5991433610481229,0.5064738951019677,0.6754921058781906,7.018158554787017,0,3,1.1515023406323908,1,0,0,4.882808345713391,4.794537184071822,0,0,0,0.08730158730158732,1.7266869346499385
2,0.06607191633126391,43,0,-11.609740720221586,0.5921052631578947,0.5271737207162573,0.7167078788890452,7.028309582089577,0,3,2.148690284486632,1,0,0,5.102144628332994,4.794537184071822,0,0,0,0.09586056644880178,1.6871760243555622
0,0.1014265123997458,20,0,-0.7690676745562122,0.5728402366863906,0.5243360335305077,0.6578827728502391,7.017068966232567,0,2,1.1515023406323908,2,0,0,5.01641128007805,4.794537184071822,0,0,0,0.08333333333333337,1.7877195742421403
2,0.11256117424254812,9,2,-0.7936762195121903,0.63488994646044,0.5768295507179251,0.6399187215044588,8.002967617492244,0,1,0.7673701830360868,6,2,1,5.228668772541393,8.78083009534964,2,1,0,0.0740740740740741,2.2190041724015392
3,0.1731957375494363,7,0,-1.1461609977324252,0.8231292517006801,0.4664463799894424,0.7973993708750531,7.008270016151903,0,2,0.7491334135702086,4,2,1,4.576492125005179,9.36594471405212,3,2,1,0.09819121447028424,1.9837896825396824
1,0.1284427194049365,7,0,-1.8306661415668863,0.5473639991598405,0.5898198873484832,0.6113606148338977,7.0082743157470215,0,0,0.3836825234302025,6,0,0,4.238109239010609,4.992404732635669,2,1,0,0.057347670250896085,2.172765055252013
2,0.10842733583563498,10,2,1.3319270551508915,0.7127991675338189,0.5012476992100621,0.6406898799929543,8.002961990471873,0,3,0.6244637527631023,5,2,2,5.066784213473103,18.74878713724405,2,2,1,0.10470085470085476,1.6196512707470498
