nBase,VE2_A,nHetero,nF,ATSC7are,AATSC0d,GATS1dv,GATS1s,BCUTs-1h,nBondsT,C3SP3,Xc-5d,NaasC,NssssC,NaaN,IC2,PEOE_VSA3,nHRing,nARing,nFAHRing,JGI2,MAXaaCH
1,0.125732281208564,6,2,1.5874492283950614,0.5825617283950617,0.5481160793193278,0.609419288510727,8.002964863890606,0,2,0.3343574811438675,5,1,0,4.810337287387721,8.78083009534964,0,1,0,0.0666666666666666,2.283259179960118
0,0.1175709139021707,18,0,12.2625,0.7520775623268697,0.634000349780042,1.1726722077452172,6.0134887823183725,0,0,1.1281053446296776,25,0,0,3.244373517807371,0.0,2,2,2,0.0716845878136201,1.1592142082168373
1,0.1138041031853062,10,2,1.1063097777777866,0.5733333333333335,0.5383526460318908,0.5894289075702429,8.002971247025808,0,2,0.5190231551471447,5,0,1,5.207813954003705,13.764808616296849,3,2,0,0.0611916264090177,1.9886964117683743
1,0.1206379438096206,8,2,1.3319398399999969,0.5646222222222222,0.5867473234729871,0.6099875847775006,8.002966121418387,0,2,0.4176908144772009,5,1,0,4.973074564264094,8.78083009534964,1,2,0,0.0686868686868687,2.254833254034192
0,0.1366348395441473,9,0,-3.3973499199999986,0.6000000000000001,0.4240862459041972,0.6348487429136149,7.011551397512329,0,0,0.2983894022963089,3,0,0,4.958562939644918,4.794537184071822,1,0,0,0.0854700854700855,1.7806069182096973
3,0.1323445280397827,6,0,-0.8545095000000056,0.6163888888888888,0.5798484503190517,0.7112454113428759,7.008272281869703,0,1,0.7965774888802465,5,1,0,4.399053190401277,0.0,2,2,0,0.0796645702306079,2.0351535336356763
2,0.1679492563137692,8,2,-0.3021695419393225,0.6722189173111243,0.4903462371702458,0.5906379910452364,8.002959569395786,0,2,0.5118371904769444,4,1,2,4.997676699687268,23.74119186987973,3,2,1,0.0921409214092141,1.7189900057053735
2,0.168970910256081,7,0,1.6758999999999982,0.6555621653777514,0.5518233023241879,0.7510237792515543,7.008270728538772,0,1,0.3941440590783926,4,1,1,4.716950480069535,0.0,2,1,0,0.0780780780780781,2.017053571428572
2,0.1321011961060195,11,5,3.801282299042064,0.766347355268638,0.392227078835115,0.6294643834954731,8.00854732421889,1,1,0.8109738607199475,5,2,1,5.061252385364928,18.75721334893252,2,1,0,0.0977777777777778,1.5008210735852536
2,0.1870628498534034,6,1,-0.1147897500000014,0.634375,0.5856529407254045,0.6820722086296788,8.001917403682686,0,2,0.4285038571436111,2,1,0,4.603055907333278,9.382819780310488,2,2,1,0.0942760942760943,1.832266865079365
2,0.124657620648752,10,3,-1.6536133694294046,0.7338608912952936,0.4377408538111206,0.5959941144206355,8.00398333575113,0,2,0.6134565354254368,6,1,2,5.150324384887382,28.13160691755455,3,2,1,0.09,1.5054205140631909
2,0.1630499225572562,8,2,-1.1431962809917344,0.6983471074380163,0.4532082359101114,0.6015723451039399,8.002959909742954,0,2,0.5118371904769444,5,1,2,5.016027641266232,23.74119186987973,3,2,1,0.0981912144702842,1.7560270427424107
